passageId,sourceId,repoUrl,commitSha,fileSha256,filePath,juan,section,pbMarker,textualLayer,passageChinese,translation,retrievedAt,projectOwnedVerification,projectOwnedNote
tq-j2-wuyue,taiqing-shenjian,https://github.com/kanripo/KR3g0045,b3e5b69beb95f575bb47e9eaed1e6aadd23bffe5,bdacf64e6dbd7dc9f9a4058137b057355862a65b3227e79b8cd8afef443492a9,KR3g0045_002.txt,卷二,五嶽,<pb:KR3g0045_WYG_002-17b> to <pb:KR3g0045_WYG_002-18a>,base-text,"五嶽者上應天之五星下鎮地之五方髙峻敦厚所以卓然立於乾坤之内者以其相資而成天地之大也人亦有所像焉故額為衡嶽欲得方而廣頷為恒嶽欲得圓而厚左顴為泰嶽右顴為華嶽左右欲得圓而正鼻為嵩嶽欲得髙而峻故五嶽須要豐隆而相朝髙峻而不陷乃相之貴矣(人倫風鑑同)","The Five Peaks correspond above to heaven's five stars and below anchor earth's five directions; lofty and substantial, they stand distinct within creation because they mutually support one another and so complete the greatness of heaven and earth. The human form likewise has an image of this. Thus the forehead is Heng peak, wanting to be square and broad; the han (lower jaw) is Heng(perm) peak, wanting to be round and thick; the left cheekbone is Tai peak, the right cheekbone is Hua peak, both wanting to be round and upright; the nose is Song peak, wanting to be high and steep. Therefore the Five Peaks must be full and mutually facing, lofty and not sunken; this is a noble physiognomy. (The Renlun fengjian agrees.)",2026-08-27T02:16:47Z,VERIFIED,"contiguous byte-for-byte match under the claimed <pb:> marker"
tq-j2-sidu,taiqing-shenjian,https://github.com/kanripo/KR3g0045,b3e5b69beb95f575bb47e9eaed1e6aadd23bffe5,bdacf64e6dbd7dc9f9a4058137b057355862a65b3227e79b8cd8afef443492a9,KR3g0045_002.txt,卷二,四瀆,<pb:KR3g0045_WYG_002-18a> to <pb:KR3g0045_WYG_002-18b>,base-text,"地之四瀆者所以相朝以接其流通人之形貎亦有像焉且鼻為濟目為淮耳為江口為河故四瀆欲得端直清大眀浄流暢涯岸成就者則應於神故貴而多智也若夫醜而不端則為愚人毁而陷者則為賤類也(人倫風鑑同)","Earth's Four Watercourses mutually face one another so as to join their flow. The human form likewise has an image of this: the nose is Ji, the eye is Huai, the ear is Jiang, the mouth is He. Thus the Four Watercourses should be upright, clear, large, bright, clean, flowing freely, with formed banks; then they answer to Shen, hence noble and of much wit. If ugly and not upright, a foolish person; if damaged and sunken, a base sort. (The Renlun fengjian agrees.)",2026-08-27T02:16:47Z,VERIFIED,"contiguous byte-for-byte match under the claimed <pb:> marker"
tq-j2-wuguan,taiqing-shenjian,https://github.com/kanripo/KR3g0045,b3e5b69beb95f575bb47e9eaed1e6aadd23bffe5,bdacf64e6dbd7dc9f9a4058137b057355862a65b3227e79b8cd8afef443492a9,KR3g0045_002.txt,卷二,五官,<pb:KR3g0045_WYG_002-18b>,base-text,"五官者目為鑒察官鼻為審辨官口為出納官耳為採聽官眉為保夀官五者欲得清而秀豐而隆或一官好則貴十年或有缺陷者及醜惡者㐫","The Five Officers: the eye is the Inspecting Officer, the nose the Discriminating Officer, the mouth the Intake-and-Issue Officer, the ear the Gathering-and-Listening Officer, the eyebrow the Longevity-Preserving Officer. The five should be clear and fine, full and prominent. If one officer is good, ten years of rank; if any is defective or ugly, ill fortune.",2026-08-27T02:16:47Z,VERIFIED,"contiguous byte-for-byte match under the claimed <pb:> marker"
tq-j5-mianbu-santing,taiqing-shenjian,https://github.com/kanripo/KR3g0045,b3e5b69beb95f575bb47e9eaed1e6aadd23bffe5,b02b8bee6fd5cbabe98f0e064f3487d3585019e10b0b5fe1efcb559f46d33dc7,KR3g0045_005.txt,卷五,論靣部,<pb:KR3g0045_WYG_005-7b> to <pb:KR3g0045_WYG_005-8a>,base-text,"靣之三停自髪際下至眉間為上停自眉間至鼻凖為中停自凖人中至頰為下停夫三停者以像三才也上像天中像人下像地上停長而豐隆方而廣濶者主貴中停隆而凖峻而静者主壽也下停方而滿端而厚者主富也若上停尖狭缺陷者主多刑厄之灾妨尅父母卑賤之相也中停短小偏塌者主不義不仁智識短少不得兄弟妻兒之力亦中年破散也下停長而狭尖而薄者主無田宅一生貧苦而艱辛也三停皆稱乃上相之人矣","The face's three sections: from the hairline down to between the brows is the upper section; from between the brows to the nose-tip is the middle section; from the tip and philtrum to the cheeks/jaw is the lower section. The three sections image the Three Powers: upper images heaven, middle images man, lower images earth. An upper section long, full, square and broad governs rank; a middle section full with the tip steep and composed governs longevity; a lower section square, full, upright and thick governs wealth. If the upper is pointed, narrow or defective it governs much punishment and calamity, harm to parents, a lowly physiognomy. If the middle is short, small, lopsided or collapsed it governs unrighteousness and inhumanity, scant wit, no support from brothers, wife or children, and midlife dispersal. If the lower is long and narrow, pointed and thin, it governs no fields or dwelling, a life of poverty and hardship. When all three sections are proportionate, this is a person of superior physiognomy.",2026-08-27T02:16:47Z,VERIFIED,"contiguous byte-for-byte match under the claimed <pb:> marker"
tq-j6-shen-santing,taiqing-shenjian,https://github.com/kanripo/KR3g0045,b3e5b69beb95f575bb47e9eaed1e6aadd23bffe5,d9ba7fbfe9c6422a5cec36ae134d693d95cc7cfd036674bddf3996aab6a7ca35,KR3g0045_006.txt,卷六,三停,<pb:KR3g0045_WYG_006-6a> to <pb:KR3g0045_WYG_006-6b>,base-text,"上停長者大吉昌中停長者近君王下停長者皆庸俗逺走他方主不良　又云身三停相稱及上下匀稠則為富貴之人也上長下短背聳三山則為公卿之位上短下長腰身怯薄一生奔走貧苦之輩矣","One whose upper section is long: great auspiciousness. One whose middle section is long: close to the sovereign. One whose lower section is long: all common and vulgar, travelling far to other regions, portending ill. It is also said: if the body's three sections are proportionate and upper and lower evenly substantial, this is a person of wealth and rank. Upper long and lower short with the back rising in three ridges: the position of a high minister. Upper short and lower long with a timid thin waist and body: one of a lifetime of running about in poverty and hardship.",2026-08-27T02:16:47Z,VERIFIED,"contiguous byte-for-byte match under the claimed <pb:> marker"
tq-j1-shuoge-xiangcheng,taiqing-shenjian,https://github.com/kanripo/KR3g0045,b3e5b69beb95f575bb47e9eaed1e6aadd23bffe5,c8f0b607e00a9e2d02bf788dc2c6c820714351228f8ec820cbf389861ea0ed3c,KR3g0045_001.txt,卷一,說歌,<pb:KR3g0045_WYG_001-2a>,base-text,"不露不麄不枯槁三停大體求相稱","Not exposed, not coarse, not withered; the three sections broadly seek proportion.",2026-08-27T02:16:47Z,VERIFIED,"contiguous byte-for-byte match under the claimed <pb:> marker"
tq-j1-miaojue-xiangying,taiqing-shenjian,https://github.com/kanripo/KR3g0045,b3e5b69beb95f575bb47e9eaed1e6aadd23bffe5,c8f0b607e00a9e2d02bf788dc2c6c820714351228f8ec820cbf389861ea0ed3c,KR3g0045_001.txt,卷一,相法妙訣,<pb:KR3g0045_WYG_001-6b>,base-text,"相人形貎有多般須辨三停端不端五嶽四瀆要相應","In reading human form there are many kinds; one must discern whether the three sections are upright or not; the Five Peaks and Four Watercourses must correspond to one another.",2026-08-27T02:16:47Z,VERIFIED,"contiguous byte-for-byte match under the claimed <pb:> marker"
tq-j1-sidu-cosmological,taiqing-shenjian,https://github.com/kanripo/KR3g0045,b3e5b69beb95f575bb47e9eaed1e6aadd23bffe5,c8f0b607e00a9e2d02bf788dc2c6c820714351228f8ec820cbf389861ea0ed3c,KR3g0045_001.txt,卷一,說歌,<pb:KR3g0045_WYG_001-1a>,base-text,"五嶽四瀆皆有神金木水火土為分","The Five Peaks and Four Watercourses all have Shen; metal wood water fire earth make the divisions.",2026-08-27T02:16:47Z,VERIFIED,"contiguous byte-for-byte match under the claimed <pb:> marker"
tq-j3-lunxin-zeshu,taiqing-shenjian,https://github.com/kanripo/KR3g0045,b3e5b69beb95f575bb47e9eaed1e6aadd23bffe5,fd37503591c2a4cf1c8f0d3926122c9c2f0cff84119ca064b4c09bd52e98357b,KR3g0045_003.txt,卷三,心術論,<pb:KR3g0045_WYG_003-1b>,base-text,"此古人有論心擇術之戒也","This is the ancients' admonition on assessing the mind and choosing one's method.",2026-08-27T02:16:47Z,VERIFIED,"contiguous byte-for-byte match under the claimed <pb:> marker"
yb-j1-heyue,yuebo-dongzhongji,https://github.com/kanripo/KR3g0043,f69732902fc82fb6b1f759cb7bf5a910c0b903a3,0949bfb991e41969459bb33d18486afb1af75c1c317c013f12792a9fc8647d87,KR3g0043_001.txt,卷上,河嶽,<pb:KR3g0043_WYG_001-5a> to <pb:KR3g0043_WYG_001-5b>,base-text,"凡相人靣五嶽欲其相朝四瀆欲其不混形神備足富貴之相所謂五嶽者頥為恒嶽額為衡嶽鼻為嵩嶽左顴為泰嶽右顴為華嶽所謂四瀆者眼為淮耳為江口為河鼻為濟髙成曰嶽深厚曰瀆嶽欲成而瀆欲清","In reading a human face, the Five Peaks should mutually face one another and the Four Watercourses should not be muddled; form and Shen complete, a physiognomy of wealth and rank. The so-called Five Peaks: the yi (jaw) is Heng(perm) peak, the forehead is Heng peak, the nose is Song peak, the left cheekbone is Tai peak, the right cheekbone is Hua peak. The so-called Four Watercourses: the eye is Huai, the ear is Jiang, the mouth is He, the nose is Ji. What rises high is called a peak; what is deep and substantial is called a watercourse. Peaks should be well-formed and watercourses should be clear.",2026-08-27T02:16:47Z,VERIFIED,"contiguous byte-for-byte match under the claimed <pb:> marker"
