relationshipId,family,relationshipClass,fromParticipant,toParticipant,direction,condition,historicalClaim,sourceId,lineageId,sourcePassageChinese,translation,juan,section,folio,sectionLocatorStatus,folioLocatorStatus,citationStatus,evidenceStrength,textualLayer,disagreementId,prohibitedForUserInference,notes,historicalRuntimeCeiling,passageIds
five-mountains-membership-yuebo,fiveMountains,ANATOMICAL_MAPPING,fiveMountains,forehead-yi-cheeks-nose,none,none,forehead=Heng yi(jaw)=Heng(perm) nose=Song left-cheek=Tai right-cheek=Hua,yuebo-dongzhongji,yuebo,所謂五嶽者頥為恒嶽額為衡嶽鼻為嵩嶽左顴為泰嶽右顴為華嶽,The Five Peaks: yi(jaw)=Heng(perm) forehead=Heng nose=Song left cheekbone=Tai right cheekbone=Hua,卷上,河嶽,KR3g0043_WYG_001-5a,VERIFIED,VERIFIED,PINNED_COMMIT,VERIFIED_PRIMARY,base-text,five-mountains-lower-face-term,false,no directional labels; lower-face term is 頥 (third variant); commit f6973290,ELIGIBLE,yb-j1-heyue
five-mountains-membership-taiqing,fiveMountains,ANATOMICAL_MAPPING,fiveMountains,forehead-han-cheeks-nose,none,none,forehead=Heng han(mandible)=Heng(perm) left-cheek=Tai right-cheek=Hua nose=Song,taiqing-shenjian,taiqing,故額為衡嶽欲得方而廣頷為恒嶽欲得圓而厚左顴為泰嶽右顴為華嶽左右欲得圓而正鼻為嵩嶽欲得髙而峻,Forehead=Heng (square broad) han=Heng(perm) (round thick) left cheekbone=Tai right cheekbone=Hua (round upright) nose=Song (high steep),卷二,五嶽,KR3g0045_WYG_002-18a,VERIFIED,VERIFIED,PINNED_COMMIT,VERIFIED_PRIMARY,base-text,five-mountains-lower-face-term,false,no directional labels; lower-face term is 頷; 〈人倫風鑑同〉 note follows,ELIGIBLE,tq-j2-wuyue
five-mountains-membership-renlun-xue,fiveMountains,ANATOMICAL_MAPPING,fiveMountains,forehead-ke-cheeks-nose,none,none,forehead=South/Heng nose=Centre/Song ke(chin)=North/Heng(perm) left=East/Tai right=West/Hua,renlun-datongfu,xue-yannian,五嶽者額為南嶽衡山鼻為中嶽嵩山頦為北嶽恒山左顴為東嶽㤗山右顴為西嶽華山,Five Peaks: forehead South Mt Heng nose Centre Mt Song ke(chin) North Mt Heng(perm) left East Mt Tai right West Mt Hua,卷上,五嶽,KR3g0046_WYG_001-11a,VERIFIED,VERIFIED,PINNED_COMMIT,VERIFIED_PRIMARY,xue-yannian-commentary,five-mountains-lower-face-term,false,Yuan commentary layer NOT the Jin fu; directional labels present; 㤗=泰 recorded not normalised,ELIGIBLE,rl-j1-wuyue
five-mountains-directional-labels-yuebo,fiveMountains,CORRESPONDENCE,fiveMountains,five-directions,none,none,Heng=South Tai=East Hua=West Song=Centre Heng(perm)=North with shape similes,yuebo-dongzhongji,yuebo,衡如滿月南嶽泰如鷄卵東嶽華若方銀西嶽嵩若髙發中嶽恒如倒提北嶽,Heng like a full moon (South) Tai like a hen's egg (East) Hua like squared silver (West) Song like a high crown (Centre) Heng(perm) like an inverted lift (North),卷下,五嶽及有小氣所管屬者,KR3g0043_WYG_002-10a,VERIFIED,VERIFIED,PINNED_COMMIT,VERIFIED_PRIMARY,base-text,none,false,REFUTES prior claim that directional labels are a Renlun-only feature; near-identical text appears in Renlun commentary attributed to 萬金秘語,ELIGIBLE,yb-j2-wuyue-similes
five-mountains-mutual-facing-taiqing,fiveMountains,MUTUAL_RELATION,fiveMountains,fiveMountains,reciprocal,all five full and not sunken,the five peaks must be full and mutually facing lofty and not sunken,taiqing-shenjian,taiqing,故五嶽須要豐隆而相朝髙峻而不陷乃相之貴矣,Therefore the Five Peaks must be full and mutually facing lofty and not sunken; this is a noble sign,卷二,五嶽,KR3g0045_WYG_002-18a,VERIFIED,VERIFIED,PINNED_COMMIT,VERIFIED_PRIMARY,base-text,none,true,貴 = rank predicate; the 相朝 relation itself is separable from the rank claim,PRODUCT_DECISION_REQUIRED,tq-j2-wuyue
five-mountains-mutual-facing-yuebo,fiveMountains,MUTUAL_RELATION,fiveMountains,fiveMountains,reciprocal,none,the five peaks should mutually face one another,yuebo-dongzhongji,yuebo,凡相人靣五嶽欲其相朝,In reading a human face the Five Peaks should mutually face one another,卷上,河嶽,KR3g0043_WYG_001-5a,VERIFIED,VERIFIED,PINNED_COMMIT,VERIFIED_PRIMARY,base-text,none,true,second independent witness to 相朝; wording differs from Taiqing so not a copy,PRODUCT_DECISION_REQUIRED,yb-j1-heyue
five-mountains-mutual-support-cosmological-taiqing,fiveMountains,MUTUAL_RELATION,mountains-of-earth,mountains-of-earth,reciprocal,none,the actual mountains mutually support one another and so complete heaven and earth,taiqing-shenjian,taiqing,所以卓然立於乾坤之内者以其相資而成天地之大也,They stand distinct within creation because they mutually support one another and so complete the greatness of heaven and earth,卷二,五嶽,KR3g0045_WYG_002-18a,VERIFIED,VERIFIED,PINNED_COMMIT,VERIFIED_PRIMARY,base-text,none,false,about geographic mountains not the face; grounds the facial analogy 人亦有所像焉,ELIGIBLE,tq-j2-wuyue
five-mountains-fullness-renlun-xue,fiveMountains,CONDITION,fiveMountains,fullness-loftiness,none,none,all five peaks should be full and swelling with a soaring posture,renlun-datongfu,xue-yannian,五嶽俱要豐隆有峻極之勢,All five peaks should be full and swelling with a soaring posture,卷上,五嶽,KR3g0046_WYG_001-11a,VERIFIED,VERIFIED,PINNED_COMMIT,VERIFIED_PRIMARY,xue-yannian-commentary,none,false,豐隆 present but 相朝 ABSENT in Renlun; a different predicate not a paraphrase,ELIGIBLE,rl-j1-wuyue
four-rivers-membership-yuebo,fourRivers,ANATOMICAL_MAPPING,fourRivers,ear-eye-mouth-nose,none,none,eye=Huai ear=Jiang mouth=He nose=Ji,yuebo-dongzhongji,yuebo,所謂四瀆者眼為淮耳為江口為河鼻為濟,The Four Watercourses: eye=Huai ear=Jiang mouth=He nose=Ji,卷上,河嶽,KR3g0043_WYG_001-5a,VERIFIED,VERIFIED,PINNED_COMMIT,VERIFIED_PRIMARY,base-text,four-rivers-eye-mouth,false,agrees with Taiqing and Renlun,ELIGIBLE,yb-j1-heyue
four-rivers-membership-taiqing,fourRivers,ANATOMICAL_MAPPING,fourRivers,ear-eye-mouth-nose,none,none,nose=Ji eye=Huai ear=Jiang mouth=He,taiqing-shenjian,taiqing,且鼻為濟目為淮耳為江口為河,The nose is Ji the eye is Huai the ear is Jiang the mouth is He,卷二,四瀆,KR3g0045_WYG_002-18a,VERIFIED,VERIFIED,PINNED_COMMIT,VERIFIED_PRIMARY,base-text,four-rivers-eye-mouth,false,CONFIRMS prior correction: this is 卷二 not 卷一; 卷一 has only the cosmological verse,ELIGIBLE,tq-j2-sidu
